accuracy	dm_source_file	leksikalnost	rec	trial_number	NoM	RT
86.95652174	02-2018A.csv	rec	ALARM	86	1	961
93.08176101	09-2018B.csv	rec	ALARM	86	1	690
86.30136986	10-2018A.csv	rec	ALARM	86	1	577
94.73684211	1-2018A.csv	rec	ALARM	86	1	494
96.90721649	12-2018B.csv	rec	ALARM	86	1	718
93.42105263	14-2018B.csv	rec	ALARM	86	1	525
93.98496241	18-2018B.csv	rec	ALARM	86	1	548
90.41916168	19-2018B.csv	rec	ALARM	86	1	400
88.23529412	20-2018A.csv	rec	ALARM	86	1	617
94.87179487	21-2018A.csv	rec	ALARM	86	1	511
91.40271493	23-2018B.csv	rec	ALARM	86	1	581
86.30136986	26-2018A.csv	rec	ALARM	86	1	587
92	31-2018A.csv	rec	ALARM	86	1	471
90.76923077	33-2018A.csv	rec	ALARM	86	1	504
92.89099526	34-2018B.csv	rec	ALARM	86	1	709
82.43243243	35-2018A.csv	rec	ALARM	86	1	588
84.83412322	36-2018B.csv	rec	ALARM	86	1	713
96.05263158	37-2018A.csv	rec	ALARM	86	1	569
98.5915493	40-2018A.csv	rec	ALARM	86	1	470
88.77005348	4-2018B.csv	rec	ALARM	86	1	632
86	42-2018A.csv	rec	ALARM	86	1	621
88.88888889	43-2018A.csv	rec	ALARM	86	1	557
91.4893617	44-2018B.csv	rec	ALARM	86	1	613
93.93939394	45-2018A.csv	rec	ALARM	86	1	663
97.14285714	48-2018A.csv	rec	ALARM	86	1	520
72	50-2018A.csv	rec	ALARM	86	1	541
83.62573099	53-2018B.csv	rec	ALARM	86	1	813
90.96045198	54-2018B.csv	rec	ALARM	86	1	577
94.85714286	55-2018B.csv	rec	ALARM	86	1	537
95	56-2018A.csv	rec	ALARM	86	1	535
93.81443299	56-2018B.csv	rec	ALARM	86	1	732
88.4057971	59-2018A.csv	rec	ALARM	86	1	662
95.71428571	61-2018B.csv	rec	ALARM	86	1	683
96.22641509	6-2018B.csv	rec	ALARM	86	1	460
93.25842697	63-2018A.csv	rec	ALARM	86	1	649
95.23809524	65-2018B.csv	rec	ALARM	86	1	517
89.63414634	67-2018B.csv	rec	ALARM	86	1	915
93.15068493	68-2018B.csv	rec	ALARM	86	1	450
94.05940594	7-2018A.csv	rec	ALARM	86	1	645
98	73-2018A.csv	rec	ALARM	86	1	521
98.24561404	8-2018A.csv	rec	ALARM	86	1	712
87.27272727	02-2018A.csv	rec	AUTOR	72	1	516
92.34449761	09-2018B.csv	rec	AUTOR	72	1	564
75.86206897	10-2018A.csv	rec	AUTOR	72	1	529
94.89795918	1-2018A.csv	rec	AUTOR	72	1	615
96.17834395	12-2018B.csv	rec	AUTOR	72	1	713
93.05555556	14-2018B.csv	rec	AUTOR	72	1	616
93.81443299	18-2018B.csv	rec	AUTOR	72	1	490
90.38461538	19-2018B.csv	rec	AUTOR	72	1	559
95.23809524	20-2018A.csv	rec	AUTOR	72	1	526
91.30434783	21-2018A.csv	rec	AUTOR	72	1	448
90.05524862	23-2018B.csv	rec	AUTOR	72	1	398
88.0952381	26-2018A.csv	rec	AUTOR	72	1	879
91.66666667	31-2018A.csv	rec	AUTOR	72	1	471
91.22807018	33-2018A.csv	rec	AUTOR	72	1	1261
94.33962264	34-2018B.csv	rec	AUTOR	72	1	639
76	35-2018A.csv	rec	AUTOR	72	1	623
84.89583333	36-2018B.csv	rec	AUTOR	72	1	682
95.71428571	37-2018A.csv	rec	AUTOR	72	1	736
97.77777778	40-2018A.csv	rec	AUTOR	72	1	521
90	4-2018B.csv	rec	AUTOR	72	1	627
90.47619048	42-2018A.csv	rec	AUTOR	72	1	422
92.5	43-2018A.csv	rec	AUTOR	72	1	494
92.22797927	44-2018B.csv	rec	AUTOR	72	1	736
92.04545455	45-2018A.csv	rec	AUTOR	72	1	688
95.65217391	48-2018A.csv	rec	AUTOR	72	1	705
75.67567568	50-2018A.csv	rec	AUTOR	72	1	476
82.51748252	53-2018B.csv	rec	AUTOR	72	1	535
91.78082192	54-2018B.csv	rec	AUTOR	72	1	751
93.98496241	55-2018B.csv	rec	AUTOR	72	1	881
96.92307692	56-2018A.csv	rec	AUTOR	72	1	527
94.05940594	56-2018B.csv	rec	AUTOR	72	1	562
93.75	59-2018A.csv	rec	AUTOR	72	1	422
95.13513514	61-2018B.csv	rec	AUTOR	72	1	653
96.17834395	6-2018B.csv	rec	AUTOR	72	1	565
97.6744186	63-2018A.csv	rec	AUTOR	72	1	577
95	65-2018B.csv	rec	AUTOR	72	1	499
90.64748201	67-2018B.csv	rec	AUTOR	72	1	544
92.81045752	68-2018B.csv	rec	AUTOR	72	1	558
95.65217391	7-2018A.csv	rec	AUTOR	72	1	560
98.55072464	73-2018A.csv	rec	AUTOR	72	1	809
100	8-2018A.csv	rec	AUTOR	72	1	485
91.22807018	99-2018B.csv	rec	AUTOR	72	1	533
89.36170213	02-2018A.csv	rec	BALET	37	2	518
95.08196721	09-2018B.csv	rec	BALET	37	2	636
84.96240602	10-2018A.csv	rec	BALET	37	2	584
94.28571429	1-2018A.csv	rec	BALET	37	2	610
95.52238806	12-2018B.csv	rec	BALET	37	2	668
91.17647059	14-2018B.csv	rec	BALET	37	2	798
85.71428571	18-2018B.csv	rec	BALET	37	2	563
77.55102041	19-2018B.csv	rec	BALET	37	2	567
89.50617284	20-2018A.csv	rec	BALET	37	2	447
93.02325581	21-2018A.csv	rec	BALET	37	2	389
91.42857143	23-2018B.csv	rec	BALET	37	2	493
90.18404908	26-2018A.csv	rec	BALET	37	2	646
93.96984925	31-2018A.csv	rec	BALET	37	2	641
92.14285714	33-2018A.csv	rec	BALET	37	2	569
